SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
208,4.5,BLK 728/729 CLEMENTI WEST STREET 2,C36,20236.2232,31960.1377,SURFACE CAR PARK
209,2.15,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",C37,20282.323,31764.2687,SURFACE CAR PARK
210,2.15,BLK 709A WOODLANDS DRIVE 70,W66,24069.321,46974.6261,MULTI-STOREY CAR PARK
211,0,BLK 150/161 YISHUN STREET 11,Y6,28097.4355,46026.6367,SURFACE CAR PARK
212,2.15,BLK 461 YISHUN AVENUE 6,Y77M,29850.1522,45576.0125,MULTI-STOREY CAR PARK
213,4.5,BLK 217/220 ANG MO KIO AVENUE 1,A4,28876.2363,38636.7578,SURFACE CAR PARK
214,2.15,BLK 150 CORPORATION DRIVE,TJ42,15650.2468,34383.6425,MULTI-STOREY CAR PARK
215,0,BLK 461/465 ANG MO KIO STREET 44,A42,30675.9559,38735.0223,SURFACE CAR PARK
216,0,BLK 457/458/460 ANG MO KIO STREET 44,A43,30887.78,38670.51,SURFACE CAR PARK
217,0,BLK 5-8/11/4A EUNOS CRESCENT,EC3,35919.0977,33712.4297,SURFACE CAR PARK
218,2,BLK 132 JURONG GATEWAY ROAD,J58,17576.3345,35155.1132,MULTI-STOREY CAR PARK
219,2,BLK 559A HOUGANG STREET 51,HG61,34213.8314,40180.7212,MULTI-STOREY CAR PARK
220,0,"BLK 703-706,711-712 HOUGANG AVENUE 2",HG36,34041.3045,38684.032,SURFACE CAR PARK
221,4.5,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",C10,20837.8461,33414.5726,SURFACE CAR PARK
222,4.5,BLK 478-483 JURONG WEST STREET 41,J44,15904.8789,36553.3516,SURFACE CAR PARK
223,0,"BLK 998A TO 998B,999A TO 999B BUANGKOK CRESCENT",H3DL,33209.3106,40779.9579,SURFACE CAR PARK
224,2.15,BLK 521A JELAPANG ROAD,BJ35,20498.7021,40997.6232,MULTI-STOREY CAR PARK
225,4.5,BLK 134/136 BEDOK NORTH AVENUE 3,B34,39391.0547,34503.7773,SURFACE CAR PARK
226,2,BLK 513A CHOA CHU KANG STREET 51,CK35,17881.6424,41361.0029,MULTI-STOREY CAR PARK
227,0,BISHAN PARK II,BE17,29598.0859,38339.9922,SURFACE CAR PARK
228,2.15,BLK 761A BEDOK RESERVOIR VIEW,B76,39251.41,35342.7343,MULTI-STOREY CAR PARK
229,5.4,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,C9,20988.0194,33324.5654,SURFACE CAR PARK
230,0,BLK 842 TO 848 SIMS AVENUE,EC7T,35554.1536,33406.7099,SURFACE CAR PARK
231,0,BLK 165/168 BUKIT BATOK WEST AVENUE 8,U8,17825.5193,36588.034,SURFACE CAR PARK
232,0,BLK 8 LORONG 7 TOA PAYOH,TP48,30599.96,35527.39,SURFACE CAR PARK
233,4.5,BLK 418/424 TAMPINES STREET 41,T73,40642.7732,37796.0139,SURFACE CAR PARK
234,9.99,BLK 681-684 HOUGANG AVENUE 4/8,HG44,33899.488,39516.6851,SURFACE CAR PARK
235,9.99,BLK 417-434 HOUGANG AVENUE 6/8/10,HG48,34763.52,39713.1288,SURFACE CAR PARK
236,4.5,BLK 435-458 HOUGANG AVENUE 6/8,HG49,34837.5859,40085.5664,SURFACE CAR PARK
237,0,BLK 24/25 HOUGANG AVENUE 3,HG5,34565.1384,38599.6502,SURFACE CAR PARK
238,2.15,BLK 145A BEDOK RESERVOIR ROAD,KE3M,36690.7665,35134.9344,MULTI-STOREY CAR PARK
239,0,BLK 843/855 TAMPINES STREET 83,T45,39338.9023,37240.9629,SURFACE CAR PARK
240,4.5,"BLK 991A/B, 992A/B, UPPER JURONG ROAD UPPER JURONG ROAD",JS33,12457.7938,35259.9777,SURFACE CAR PARK
241,2.15,BLK 312 SUMANG LINK,PL52,35584.2349,43559.8993,MULTI-STOREY CAR PARK
242,2.15,BLK 281 SENGKANG EAST AVENUE,SK91,34474.3384,40829.755,MULTI-STOREY CAR PARK
243,0,BLK 382 YISHUN STREET 31,Y83L,29649.6679,45882.3415,SURFACE CAR PARK
